Animal1,Animal2,weights
antelope,turtle,0.333910263
antelope,walrus,0.261550835
antelope,wasp,0.202125983
antelope,weasel,0.213678926
antelope,whale,0.244382373
antelope,wolf,0.272492238
antelope,wombat,0.276517216
antelope,woodpecker,0.193919234
antelope,yak,0.19381519
antelope,zebra,0.363154759
baboon,albatross,0.279255184
baboon,alligator,0.425106686
baboon,ant,0.314904942
baboon,antelope,0.358829114
baboon,baboon,1
baboon,badger,0.291339125
baboon,barracuda,0.092096449
baboon,bat,0.317420365
baboon,bear,0.35996601
baboon,beaver,0.179427195
baboon,bee,0.279681368
baboon,beetle,0.273578583
baboon,bison,0.308013644
baboon,blackbird,0.162713031
baboon,boa,0.175896249
baboon,bonobo,0.507477434
baboon,buffalo,0.153965806
baboon,bumblebee,0.279045591
baboon,butterfly,0.197848027
baboon,caiman,0.341352416
baboon,camel,0.393602017
baboon,canary,0.174117173
baboon,carp,0.141344659
baboon,cat,0.41729357
baboon,caterpillar,0.284375685
baboon,catfish,0.258076495
baboon,centipede,0.390584805
baboon,chameleon,0.421029161
baboon,chicken,0.321382299
baboon,chimpanzee,0.595472533
baboon,chipmunk,0.323200591
baboon,cockroach,0.428672202
baboon,cod,0.028478275
baboon,cow,0.4305178
baboon,coyote,0.325251948
baboon,crab,0.283443472
baboon,crocodile,0.498074277
baboon,crow,0.29512534
baboon,cuttlefish,0.334133109
baboon,deer,0.320970169
baboon,dingo,0.461796408
baboon,dog,0.472781077
baboon,dolphin,0.329196798
baboon,donkey,0.391008073
baboon,dove,0.201539912
baboon,dragonfly,0.274805603
baboon,duck,0.325572284
baboon,eagle,0.208306241
baboon,eel,0.217189804
baboon,elephant,0.550444372
baboon,elk,0.262480298
baboon,emu,0.173730103
baboon,falcon,0.160668825
baboon,finch,0.205558204
baboon,flamingo,0.246462481
baboon,flea,0.268583825
baboon,fly,0.171470229
baboon,fox,0.18052182
baboon,frog,0.404125635
baboon,gazelle,0.387895389
baboon,gecko,0.295702631
baboon,gibbon,0.233114327
baboon,giraffe,0.590161983
baboon,goat,0.492340083
baboon,goldfish,0.276291811
baboon,goose,0.275470465
baboon,gorilla,0.522253476
baboon,grasshopper,0.197267582
baboon,hamster,0.397468554
baboon,hare,0.300736014
baboon,hawk,0.201721601
baboon,hedgehog,0.328141785
baboon,horse,0.282475691
baboon,hyena,0.613075552
baboon,jaguar,0.193250595
baboon,jellyfish,0.315843566
baboon,kangaroo,0.360006062
baboon,kiwi,0.222922064
baboon,koala,0.463531727
baboon,ladybug,0.281295471
baboon,lemur,0.38366219
baboon,lemming,0.269005715
baboon,leopard,0.424213572
baboon,lion,0.417099019
baboon,lizard,0.426490428
baboon,lobster,0.229591745
baboon,mammoth,0.336207399
baboon,mink,0.251056016
baboon,mole,0.3938628
baboon,mongoose,0.47671922
baboon,monkey,0.532608534
baboon,moose,0.255386644
baboon,moth,0.190669255
baboon,mouse,0.372075312
baboon,mule,0.259204864
baboon,nightingale,0.12608617
baboon,nymph,0.274743781
baboon,octopus,0.340977481
baboon,okapi,0.444636212
baboon,ostrich,0.473846675
baboon,otter,0.242505896
