[run number],threshold,person1,person2,[step],words-said
64,0.1,animals_google.csv,animals_google.csv,36,[lion moth wombat elk goose deer stingray prawn antelope woodpecker finch dog chimpanzee pig mule rabbit albatross okapi mongoose falcon caiman badger lobster pelican dragonfly bat gorilla salamander mouse squirrel tarantula squid kangaroo parakeet duck cod stingray]
65,0.2,animals_google.csv,animals_google.csv,31,[cow ostrich goat reindeer turkey prawn bee antelope falcon bison eel caiman hamster parrot camel badger donkey walrus catfish tiger racoon hare dingo mule yak pigeon pelican shrimp salmon whale rhinoceros falcon]
66,0.3,animals_google.csv,animals_google.csv,8,[crocodile fox rooster wombat turtle moth caterpillar alligator caterpillar]
67,0.1,animals_twitter.csv,animals_google.csv,60,[swan grasshopper tapir dragonfly zebra moose salmon shrimp racoon antelope otter rat oyster dove rooster cat falcon raven ostrich trout gorilla chimpanzee termite mole mouse tiger baboon hyena frog nymph rabbit deer bear horse monkey camel squid duck flea boa emu nightingale donkey stingray pigeon eagle bee moth swallow cockroach flamingo dolphin beaver sparrow chipmunk ant woodpecker puma alligator crow mole]
68,0.2,animals_twitter.csv,animals_google.csv,43,[kiwi toad otter penguin hawk nightingale snail goat rhinoceros wombat stork swan panda rabbit salmon sparrow caiman tapir python robin squid raven pony squirrel lobster oyster giraffe lion duck crow eagle beetle canary owl fly dragonfly racoon parrot beaver mouse bee deer dog deer]
70,0.1,animals_wikipedia.csv,animals_google.csv,38,[rabbit walrus camel gorilla cow frog otter mongoose goat goldfish pig chimpanzee prawn salmon squid boa scallop peacock fox catfish shark cod oyster caterpillar grasshopper tortoise scorpion snail blackbird stork bat panther spider eel salamander python trout tarantula catfish]
69,0.3,animals_twitter.csv,animals_google.csv,10,[poodle coyote snail ladybug chameleon monkey canary sparrow moth tortoise poodle]
71,0.2,animals_wikipedia.csv,animals_google.csv,61,[chicken swan finch parrot octopus squid cuttlefish turtle moose hyena mongoose bison sheep rhinoceros monkey beaver oyster grasshopper stork robin raven bonobo tapir lizard nymph moth woodpecker goose sparrow carp badger frog bat spider tarantula kiwi skunk cockroach termite caterpillar kangaroo eel python blackbird rabbit peacock barracuda shrimp scallop crab salmon jellyfish starfish butterfly lobster owl swallow toad piranha toucan gecko toad]
72,0.3,animals_wikipedia.csv,animals_google.csv,18,[badger moth cockroach dolphin eagle lizard cuttlefish piranha frog goose sparrow bumblebee squirrel toad rhinoceros parrot albatross swan sparrow]
73,0.1,animals_gigaword.csv,animals_twitter.csv,18,[elephant mammoth beaver rat stork platypus oyster mole lemur cockroach hamster donkey camel jellyfish starfish crow scorpion jaguar scorpion]
