Animal1,Animal2,weights
ant,koala,0.324340457
ant,ladybug,0.453021209
ant,lemur,0.393139673
ant,lemming,0.291265114
ant,leopard,0.303055325
ant,lion,0.241395047
ant,lizard,0.502990498
ant,lobster,0.232172927
ant,mammoth,0.191736777
ant,mink,0.238023626
ant,mole,0.285028721
ant,mongoose,0.436518059
ant,monkey,0.432487809
ant,moose,0.229146876
ant,moth,0.535320927
ant,mouse,0.33518024
ant,mule,0.221090528
ant,nightingale,0.237891068
ant,nymph,0.321880673
ant,octopus,0.324277777
ant,okapi,0.232293881
ant,ostrich,0.404077265
ant,otter,0.33934214
ant,owl,0.375482432
ant,oyster,0.278239261
ant,panda,0.316700827
ant,panther,0.298464258
ant,parakeet,0.255293102
ant,parrot,0.325202669
ant,peacock,0.290476706
ant,pelican,0.302946584
ant,penguin,0.31614892
ant,pig,0.390681232
ant,pigeon,0.36917542
ant,piranha,0.388903189
ant,platypus,0.292489809
ant,pony,0.125399803
ant,poodle,0.168615481
ant,prawn,0.324130184
ant,puma,0.289765317
ant,python,0.403317703
ant,rabbit,0.425167602
ant,racoon,0.332129433
ant,rat,0.463930572
ant,rattlesnake,0.415522315
ant,raven,0.276492632
ant,reindeer,0.186138737
ant,rhinoceros,0.262556327
ant,robin,0.376859241
ant,rooster,0.32625108
ant,salamander,0.439216639
ant,salmon,0.214927845
ant,scallop,0.185512725
ant,scorpion,0.530320223
ant,seal,0.05058058
ant,shark,0.26766338
ant,sheep,0.28791973
ant,shrimp,0.291429864
ant,skunk,0.395131161
ant,snail,0.504427587
ant,snake,0.468381235
ant,sparrow,0.445403827
ant,spider,0.564050694
ant,squid,0.27550169
ant,squirrel,0.443660822
ant,starfish,0.322779244
ant,stingray,0.271417067
ant,stork,0.248381764
ant,swallow,0.15955444
ant,swan,0.21847965
ant,tapir,0.37621399
ant,termite,0.495739176
ant,tarantula,0.47284688
ant,tiger,0.253556778
ant,toad,0.544882928
ant,tortoise,0.367638752
ant,toucan,0.322799098
ant,trout,0.253505355
ant,turkey,0.30277677
ant,turtle,0.411517195
ant,walrus,0.162441485
ant,wasp,0.548134189
ant,weasel,0.29983889
ant,whale,0.202698684
ant,wolf,0.289791804
ant,wombat,0.362878267
ant,woodpecker,0.363059896
ant,yak,0.124449963
ant,zebra,0.271217738
antelope,albatross,0.201249601
antelope,alligator,0.421013525
antelope,ant,0.326489242
antelope,antelope,1
antelope,baboon,0.435324841
antelope,badger,0.391636473
antelope,barracuda,0.291025972
antelope,bat,0.175756955
antelope,bear,0.33379013
antelope,beaver,0.375817998
antelope,bee,0.262130119
antelope,beetle,0.413868532
antelope,bison,0.565163702
antelope,blackbird,0.353718481
antelope,boa,0.269663575
antelope,bonobo,0.350333041
antelope,buffalo,0.602002749
antelope,bumblebee,0.303434225
antelope,butterfly,0.252482226
antelope,caiman,0.409047093
antelope,camel,0.335333115
antelope,canary,0.159633238
antelope,carp,0.333454597
antelope,cat,0.348205261
antelope,caterpillar,0.289734765
antelope,catfish,0.359395385
antelope,centipede,0.225414047
antelope,chameleon,0.151863739
antelope,chicken,0.248692247
antelope,chimpanzee,0.36538449
antelope,chipmunk,0.372100778
antelope,cockroach,0.255443993
antelope,cod,0.213111319
antelope,cow,0.363864136
antelope,coyote,0.492483313
antelope,crab,0.251443287
antelope,crocodile,0.459413424
antelope,crow,0.3002857
antelope,cuttlefish,0.302921431
antelope,deer,0.634953972
antelope,dingo,0.417762077
antelope,dog,0.277467912
antelope,dolphin,0.32673355
antelope,donkey,0.356739208
antelope,dove,0.268701711
antelope,dragonfly,0.374088001
antelope,duck,0.329209655
antelope,eagle,0.362232147
antelope,eel,0.286805835
antelope,elephant,0.507244488
antelope,elk,0.681235724
antelope,emu,0.426313212
antelope,falcon,0.435305758
antelope,finch,0.421570055
antelope,flamingo,0.361741053
antelope,flea,0.180657673
antelope,fly,0.128466441
antelope,fox,0.403558457
antelope,frog,0.422624698
antelope,gazelle,0.513533149
antelope,gecko,0.244240865
antelope,gibbon,0.40014002
antelope,giraffe,0.52334468
antelope,goat,0.487939609
antelope,goldfish,0.237369781
antelope,goose,0.431673966
antelope,gorilla,0.368909281
antelope,grasshopper,0.33027726
antelope,hamster,0.24096804
antelope,hare,0.395499722
antelope,hawk,0.246752975
antelope,hedgehog,0.354600069
antelope,horse,0.301453544
antelope,hyena,0.511010847
antelope,jaguar,0.493658639
antelope,jellyfish,0.262531375
antelope,kangaroo,0.39422613
antelope,kiwi,0.185156594
antelope,koala,0.356238741
antelope,ladybug,0.285327903
antelope,lemur,0.392263641
antelope,lemming,0.202922579
antelope,leopard,0.545701185
antelope,lion,0.356752338
antelope,lizard,0.469500314
antelope,lobster,0.223421905
antelope,mammoth,0.180967111
antelope,mink,0.360599995
antelope,mole,0.172419457
antelope,mongoose,0.431865514
antelope,monkey,0.336562668
antelope,moose,0.579118162
antelope,moth,0.332983983
antelope,mouse,0.249286066
antelope,mule,0.297596723
antelope,nightingale,0.226782281
antelope,nymph,0.268370748
antelope,octopus,0.192801358
antelope,okapi,0.496945268
antelope,ostrich,0.44586678
antelope,otter,0.483514895
antelope,owl,0.453817975
antelope,oyster,0.231391988
antelope,panda,0.360178038
antelope,panther,0.485258536
antelope,parakeet,0.211776476
antelope,parrot,0.292328496
antelope,peacock,0.326155949
antelope,pelican,0.384817949
antelope,penguin,0.296503847
antelope,pig,0.349151699
antelope,pigeon,0.335420632
antelope,piranha,0.3335696
antelope,platypus,0.333814607
antelope,pony,0.168374435
antelope,poodle,0.240647837
antelope,prawn,0.284852217
antelope,puma,0.403266264
antelope,python,0.383702548
antelope,rabbit,0.461614989
antelope,racoon,0.351139948
antelope,rat,0.315188374
antelope,rattlesnake,0.488501725
