[run number],threshold,person1,[step],words-said
76,0.1,animals_google.csv,22,[tiger rattlesnake chameleon buffalo giraffe turtle blackbird walrus squirrel snake hamster catfish sparrow pigeon gibbon crab beaver turkey cod flea alligator mink rattlesnake]
89,0.2,animals_google.csv,11,[prawn tarantula dove starfish grasshopper hamster kiwi goat weasel skunk panda goat]
90,0.3,animals_google.csv,26,[panther cockroach bonobo whale dingo cuttlefish tiger squid leopard pigeon snail cat shrimp prawn rat hamster dog pelican woodpecker peacock tapir deer salmon spider carp goldfish squid]
79,0.1,animals_twitter.csv,43,[prawn baboon wasp rattlesnake mole monkey cat okapi pony shark kiwi hamster dolphin salmon penguin goat weasel chameleon raven ostrich chipmunk shrimp rabbit yak badger wolf finch hedgehog bat spider peacock butterfly snake otter elephant panda rhinoceros frog chimpanzee gorilla jaguar flamingo rooster goat]
93,0.3,animals_twitter.csv,33,[octopus beaver reindeer bear hamster koala elephant lobster turkey goose python rooster crow dog rattlesnake chicken dolphin parrot tiger seal butterfly gibbon lemming snake otter leopard crab crocodile cuttlefish monkey grasshopper toucan wombat koala]
82,0.1,animals_wikipedia.csv,16,[centipede rattlesnake snake catfish dove rooster duck fly wombat poodle sheep pelican dolphin coyote ant bonobo coyote]
95,0.2,animals_wikipedia.csv,41,[lobster salmon elk buffalo goose woodpecker reindeer rabbit pony monkey wolf okapi platypus dragonfly beaver tortoise crocodile zebra gecko dog tapir flamingo panther giraffe bumblebee hamster ant dingo lemming bat rattlesnake parrot lizard cow cockroach lion tarantula centipede alligator otter python hamster]
96,0.3,animals_wikipedia.csv,13,[crocodile giraffe turtle goldfish alligator chameleon whale kiwi toucan monkey goose snake lion snake]
85,0.1,animals_gigaword.csv,7,[canary shrimp skunk dog poodle kangaroo bee skunk]
98,0.2,animals_gigaword.csv,12,[turtle dove lobster tortoise toad frog rat hamster otter scallop eel pig hamster]
99,0.3,animals_gigaword.csv,21,[deer trout sparrow monkey whale snake crocodile cockroach coyote tarantula flea parrot peacock goat swan duck toad kangaroo salamander platypus chicken tarantula]
86,0.2,animals_gigaword.csv,10,[fox antelope turtle horse raven racoon baboon frog flamingo falcon turtle]
87,0.3,animals_gigaword.csv,33,[spider shark dove cat rooster donkey baboon rat dingo parrot toucan swallow squirrel coyote beaver crow turtle dragonfly monkey jellyfish whale cow pig squid crocodile tarantula lizard tortoise stingray alligator frog gorilla tiger parrot]
88,0.1,animals_google.csv,32,[turtle toucan elephant hare wolf albatross sparrow moose shrimp dragonfly rooster reindeer ostrich monkey gecko python caterpillar gorilla lizard goldfish chicken ant antelope zebra peacock walrus badger salmon whale starfish chameleon lemur walrus]
91,0.1,animals_twitter.csv,15,[starfish rattlesnake pelican fly python buffalo lobster mule lemming monkey chameleon centipede eel goose mouse monkey]
92,0.2,animals_twitter.csv,29,[mongoose walrus oyster shark raven duck hawk carp stingray gazelle mouse parrot dingo wasp albatross reindeer sheep finch tiger dragonfly snake badger hamster scallop beaver bison ostrich monkey dolphin hamster]
104,0.2,animals_twitter.csv,12,[parrot rabbit pig reindeer platypus swallow eagle rooster donkey monkey tiger chameleon chameleon]
105,0.3,animals_twitter.csv,11,[giraffe swallow sparrow parrot salmon dragonfly wombat gorilla butterfly snake tiger snake]
94,0.1,animals_wikipedia.csv,17,[pig scallop rooster beetle octopus shrimp giraffe walrus goldfish spider catfish boa mole centipede eagle swan monkey goldfish]
108,0.3,animals_wikipedia.csv,11,[hedgehog wombat rabbit gecko tortoise sparrow parrot cockroach tarantula stork cat parrot]
97,0.1,animals_gigaword.csv,7,[stork piranha goose lion elephant octopus skunk skunk]
110,0.2,animals_gigaword.csv,38,[turtle toad mammoth snail crocodile scallop shrimp dingo monkey reindeer cow gazelle buffalo dog parrot finch bat fly otter squirrel moose dove mole wasp deer beaver leopard tarantula frog elephant baboon hamster pig mouse woodpecker racoon wombat tapir dingo]
111,0.3,animals_gigaword.csv,14,[ant leopard beetle zebra snake frog elephant piranha panda monkey giraffe squid albatross dolphin elephant]
